iter	Passed	Remaining
398	466285	118032
399	467652	116913
400	468905	115764
401	470188	114623
402	471776	113554
403	472701	112325
404	473920	111166
405	475219	110026
406	476476	108875
407	477794	107737
408	479241	106628
409	480750	105530
410	481663	104301
411	483087	103183
412	484048	101966
413	485000	100748
414	486675	99680
415	488055	98549
416	489343	97399
417	490273	96178
418	491524	95020
419	493047	93913
420	493943	92687
421	495247	91538
422	496460	90372
423	497409	89158
424	498543	87978
425	499458	86760
426	501267	85696
427	502244	84489
428	503327	83301
429	504790	82175
430	505737	80964
431	507136	79827
432	508417	78669
433	509300	77451
434	510177	76233
435	511568	75092
436	512768	73923
437	513980	72755
438	515257	71596
439	516138	70382
440	517453	69228
441	518596	68051
442	519470	66839
443	520876	65696
444	522286	64552
445	523186	63345
446	524595	62200
447	525809	61031
448	527144	59876
449	528429	58714
450	529656	57545
451	530543	56340
452	531708	55166
453	533058	54010
454	533934	52806
455	534830	51606
456	536217	50453
457	537591	49298
458	539061	48151
459	540209	46974
460	541590	45817
461	543025	44664
462	544308	43497
463	545565	42328
464	546862	41161
465	548376	40010
466	549462	38827
467	550366	37631
468	551591	36459
469	553011	35298
470	553928	34105
471	555241	32938
472	556178	31748
473	557388	30574
474	558682	29404
475	559587	28214
476	560891	27045
477	562001	25866
478	563230	24692
479	564467	23519
480	565646	22343
481	566829	21167
482	567698	19981
483	569090	18812
484	570656	17649
485	572028	16478
486	573296	15303
487	574348	14123
488	575807	12952
489	577059	11776
490	578611	10605
491	579986	9430
492	580992	8249
493	582320	7072
494	583739	5896
495	585117	4718
496	586306	3539
497	587193	2358
498	588108	1178
499	589444	0
