iter	Accuracy	MultiClass
0	0.6473901989	2.221803332
1	0.7496634927	1.875595485
2	0.7461239344	1.68365585
3	0.7593349619	1.537270919
4	0.7713495189	1.414389621
5	0.7718729747	1.307943909
6	0.8303504661	1.206408877
7	0.8593648736	1.118975634
8	0.8694351663	1.039129002
9	0.8756917095	0.9762515843
10	0.8835435465	0.917765163
11	0.9044568523	0.8646397398
12	0.9268408196	0.7972670943
13	0.9341692009	0.7538400419
14	0.9645794905	0.713972212
15	0.9650530934	0.6830036919
16	0.9597437559	0.653112248
17	0.964978314	0.6271784891
18	0.9601176529	0.6048482573
19	0.9607408146	0.5796081746
20	0.9607657411	0.5550752294
21	0.9741761803	0.5282512371
22	0.9744752979	0.5087885456
23	0.9746996361	0.4929213971
24	0.9746747096	0.4771596411
25	0.9746996361	0.4607285257
26	0.9747245625	0.4485005117
27	0.9747993419	0.4368747976
28	0.9757465477	0.4206668315
29	0.9758961065	0.4102909883
30	0.9695897104	0.3911766164
31	0.9695647839	0.3816495471
32	0.9697143427	0.3732552113
33	0.9696644898	0.3558187359
34	0.9696644898	0.3481346191
35	0.9697891221	0.3339788057
36	0.9696644898	0.3273760831
37	0.9799092677	0.3108783755
38	0.9799840471	0.3057244347
39	0.9803080911	0.2934326836
40	0.9803080911	0.2817524262
41	0.9802582382	0.2743260827
42	0.9809063263	0.265212549
43	0.9872875019	0.2567031417
44	0.9871379431	0.2515668369
45	0.9874121342	0.2426011817
46	0.9890323546	0.233891354
47	0.9889825016	0.2276773144
48	0.989107134	0.2188374768
49	0.9893314722	0.2155991565
50	0.9893813251	0.210320016
51	0.9894062516	0.2072470615
52	0.9894561045	0.2029805712
53	0.9896056633	0.1979190786
54	0.9897552221	0.1910743151
55	0.989805075	0.1854200861
56	0.989805075	0.1799186416
57	0.989805075	0.174950399
58	0.9900543397	0.1701511562
59	0.9900543397	0.1669220734
60	0.9904282367	0.1609443357
61	0.9904531632	0.1582149455
62	0.9905030161	0.1550399384
63	0.990926766	0.1501940659
64	0.990926766	0.1454220757
65	0.990926766	0.142129506
66	0.9909516925	0.1383309038
67	0.990976619	0.1357117994
68	0.9910264719	0.1331608003
69	0.9910513984	0.1311543924
70	0.9917742659	0.1274235193
71	0.9918241188	0.1251733209
72	0.9919986041	0.1214694378
73	0.9921481629	0.1177553008
74	0.9921980159	0.1158999772
75	0.9922229423	0.1138371057
76	0.9924472805	0.1117611529
77	0.9924472805	0.1088780872
78	0.992472207	0.1070270251
79	0.9924472805	0.1049075621
80	0.9924971335	0.1032552606
81	0.9925469864	0.1002990727
82	0.9925719129	0.09729027247
83	0.9925469864	0.09486737539
84	0.9925968393	0.09233426142
85	0.9926466923	0.0903284568
86	0.9926217658	0.08836003642
87	0.9926217658	0.08681824989
88	0.9927463981	0.08558522127
89	0.9927463981	0.08320948511
90	0.9927463981	0.0818377856
91	0.9927463981	0.08041653143
92	0.9927463981	0.07880214623
93	0.9927463981	0.07767212749
94	0.9927962511	0.07606607728
95	0.9927713246	0.07490002902
96	0.9927713246	0.07366936445
97	0.9927463981	0.07294482806
98	0.9927463981	0.07162706048
99	0.9927713246	0.07106528273
100	0.9927463981	0.06965429815
101	0.9927713246	0.06883260215
102	0.9928211775	0.06740884545
103	0.9927962511	0.06611142261
104	0.992846104	0.06475145539
105	0.9928710305	0.06365751898
106	0.9928710305	0.06237149523
107	0.992846104	0.06121937406
108	0.9928959569	0.05984012991
109	0.9928959569	0.05909031975
110	0.9928959569	0.05822111702
111	0.9928959569	0.05725421715
112	0.9928959569	0.05617738124
113	0.9928959569	0.05552538894
114	0.9928959569	0.05467274999
115	0.9929208834	0.05384845377
116	0.9929707363	0.05281433898
117	0.9929707363	0.0522433731
118	0.9929707363	0.0514880413
119	0.9929707363	0.05074014173
120	0.9929707363	0.05005519493
121	0.9930704422	0.04912412062
122	0.9930704422	0.04838522848
123	0.9930704422	0.04778217584
124	0.9930704422	0.04750039608
125	0.9930205893	0.04690435302
126	0.9929956628	0.04637065522
127	0.9929707363	0.04588770763
128	0.9930205893	0.04540602026
129	0.9932449275	0.04481571639
130	0.9932698539	0.04418654224
131	0.9932698539	0.04335564913
132	0.9934194127	0.04267957702
133	0.9933944863	0.04243847101
134	0.9934941921	0.04213554671
135	0.9934941921	0.04139597224
136	0.9934941921	0.04083897085
137	0.9934941921	0.04035607792
138	0.9934941921	0.04006151773
139	0.9935191186	0.03968041167
140	0.9935440451	0.03937505723
141	0.9935440451	0.03895719377
142	0.993593898	0.03858740435
143	0.9936936039	0.03828381219
144	0.9936936039	0.03803336338
145	0.9937434568	0.03784005525
146	0.9937185303	0.03764580735
147	0.9936936039	0.03742919448
148	0.9936936039	0.03719788554
149	0.9937185303	0.03701797345
150	0.9939179421	0.03674261366
151	0.9938431627	0.0366340649
152	0.9938680891	0.03624749416
153	0.9938680891	0.03581827928
154	0.9938431627	0.03551492396
155	0.9938680891	0.03530383967
156	0.9938680891	0.03513184412
157	0.9939179421	0.03469774774
158	0.9938930156	0.03445041888
159	0.9938930156	0.03414537322
160	0.9939179421	0.03384122254
161	0.9938680891	0.03365726581
162	0.9938431627	0.03353165966
163	0.9938680891	0.03331445667
164	0.9938930156	0.03300653847
165	0.9938930156	0.03271622459
166	0.9938680891	0.03263439504
167	0.9938680891	0.03247187714
168	0.9938930156	0.03220085267
169	0.9939927215	0.0320304752
170	0.9939927215	0.03183750541
171	0.9940425744	0.0316500861
172	0.9939927215	0.0314653619
173	0.9940675009	0.03133728717
174	0.9940675009	0.03110314143
175	0.9940425744	0.03094008086
176	0.9940924273	0.03072631308
177	0.9941422803	0.03061104266
178	0.9940924273	0.03048854044
179	0.9940924273	0.03039295868
180	0.9940924273	0.03019415258
181	0.9940924273	0.03003634308
182	0.9940924273	0.02978850316
183	0.9940924273	0.02962369729
184	0.9940675009	0.02949364965
185	0.9940924273	0.02936562523
186	0.9940425744	0.02925781547
187	0.9940675009	0.02916397421
188	0.9940425744	0.02907679285
189	0.9940675009	0.02894165192
190	0.9940924273	0.02887334932
191	0.9940675009	0.02873151553
192	0.9941173538	0.02859370362
193	0.9941422803	0.02852306324
194	0.9941422803	0.02824709008
195	0.9941422803	0.02810817382
196	0.9941422803	0.02802845337
197	0.9941422803	0.02791795305
198	0.9941672067	0.0277470801
199	0.9941422803	0.02761855318
200	0.9941422803	0.02755143772
201	0.9941672067	0.02726052302
202	0.9940675009	0.02717200347
203	0.9940675009	0.02707664299
204	0.9940924273	0.02681811622
205	0.9940924273	0.0266748137
206	0.9940924273	0.02662447524
207	0.9940924273	0.0264834492
208	0.9940924273	0.02644577738
209	0.9940924273	0.02638152897
210	0.9940924273	0.02628547464
211	0.9941173538	0.02620981858
212	0.9942170597	0.02611643391
213	0.9942170597	0.02586719026
214	0.9942170597	0.02581237188
215	0.994341692	0.02573701871
216	0.9943915449	0.02566314128
217	0.994341692	0.02560128854
218	0.9943915449	0.0254971423
219	0.9943666185	0.02544104464
220	0.9943915449	0.02536009651
